,class,bruises,odor,ring-number,ring-type,spore-print-color,population,habitat,cap,gill,stalk
0,1,1,6,1,4,2,3,5,-0.7964864537332266,-1.2834932595500927,-1.19806269621317
1,0,1,0,1,4,3,2,1,0.07453446434295909,0.16322557939206625,-1.020547991730164
2,0,1,3,1,4,3,2,3,2.250542647456931,0.35288395537379746,-1.020547991730166
3,1,1,6,1,4,2,3,5,0.2942954200092241,-1.09383488356835,-1.198062696213186
4,0,0,5,1,0,3,0,1,-0.9706906373486036,0.7243703975713236,-1.7370936716638257
5,0,1,0,1,4,2,2,1,0.46849960362448534,0.35288395537379746,-1.020547991730168
6,0,1,0,1,4,2,2,3,2.2505426474569252,-0.21609117257139643,-1.020547991730168
7,0,1,3,1,4,3,3,3,2.6445077867384463,0.35288395537379746,-1.020547991730168
8,1,1,6,1,4,2,4,1,0.2942954200092241,-0.7145181316048876,-1.198062696213186
9,0,1,0,1,4,2,3,3,2.4247468310721865,-0.21609117257139643,-1.020547991730168
10,0,1,3,1,4,3,2,1,0.46849960362448534,-0.21609117257139643,-1.020547991730168
11,0,1,0,1,4,2,3,3,0.46849960362448534,0.35288395537379746,-1.020547991730168
12,0,1,0,1,4,3,3,1,2.4247468310721865,1.301175835282454,-1.020547991730168
13,1,1,6,1,4,3,4,5,0.2942954200092241,-1.2834932595500816,-1.198062696213186
14,0,0,5,1,0,2,0,1,-1.584416732296385,0.9140287735530548,-0.674901728968094
15,0,0,5,1,4,3,5,5,-1.2885784425658018,-1.2834932595500816,-1.198062696213186
16,0,0,5,1,0,3,0,1,0.5225274222021941,0.7243703975713236,-1.7370936716638257
17,1,1,6,1,4,2,3,1,-0.7964864537333425,-1.09383488356835,-1.198062696213186
18,1,1,6,1,4,3,3,5,0.2942954200092241,-1.09383488356835,-1.198062696213186
19,1,1,6,1,4,3,3,5,-0.7964864537333425,-1.2834932595500816,-1.198062696213186
20,0,1,0,1,4,3,3,3,2.4247468310721865,0.16322557939206617,-1.020547991730168
21,1,1,6,1,4,3,4,1,-0.4025213144518212,-1.09383488356835,-1.198062696213186
22,0,1,3,1,4,3,3,3,2.8187119703537076,0.16322557939206617,-1.020547991730168
23,0,1,0,1,4,3,2,3,2.6445077867384463,1.301175835282454,-1.020547991730168
24,0,1,3,1,4,2,3,3,2.2505426474569252,-0.21609117257139643,-1.020547991730168
25,1,1,6,1,4,3,4,1,1.3104577007652365,-1.09383488356835,-1.198062696213186
26,0,1,0,1,4,3,2,3,0.46849960362448534,0.35288395537379746,-1.020547991730168
27,0,1,3,1,4,3,2,3,0.2942954200092241,1.301175835282454,-1.020547991730168
28,0,0,5,1,4,2,5,5,-0.17428931225885164,-1.2834932595500816,-1.198062696213186
29,0,1,0,1,4,3,4,0,0.07453446434296443,-0.5326900653890926,-1.3820642626977904
30,0,1,3,1,4,3,2,3,2.4247468310721865,-0.21609117257139643,-1.020547991730168
31,1,1,6,1,4,3,3,5,0.2942954200092241,-1.2834932595500816,-1.198062696213186
32,0,1,3,1,4,3,2,3,0.46849960362448534,0.35288395537379746,-1.020547991730168
33,0,1,3,1,4,3,5,4,-0.4025213144518212,0.7322007073372602,-1.9066733720440707
34,0,1,3,1,4,3,3,3,2.8187119703537076,0.35288395537379746,-1.020547991730168
35,0,1,3,1,4,3,4,0,-0.7133958142200783,0.4156018145195639,-1.3820642626977904
36,0,0,5,1,4,2,4,5,-1.2885784425658018,-1.2834932595500816,-1.198062696213186
37,1,1,6,1,4,3,3,5,-0.4025213144518212,-0.14554300365969353,-1.198062696213186
38,0,1,0,1,4,3,4,0,-0.7133958142200783,-0.1533733134256301,-1.3820642626977904
39,0,1,3,1,4,2,3,3,2.4247468310721865,0.16322557939206617,-1.020547991730168
40,0,1,0,1,4,3,3,1,2.8187119703537076,0.35288395537379746,-1.020547991730168
41,0,1,3,1,4,2,5,4,0.46849960362448534,0.35288395537379746,-1.9066733720440707
42,0,0,5,1,4,2,5,5,-1.584416732296385,-1.662810011513544,-1.198062696213186
43,1,1,6,1,4,3,4,1,0.2942954200092241,-0.7145181316048876,-1.198062696213186
44,0,1,0,1,4,2,2,3,0.07453446434296443,1.301175835282454,-1.020547991730168
45,0,1,0,1,4,3,2,1,0.2942954200092241,0.35288395537379746,-1.020547991730168
46,0,1,3,1,4,2,3,3,0.46849960362448534,0.16322557939206617,-1.020547991730168
47,0,1,3,1,4,3,2,3,-0.09966971927229715,1.301175835282454,-1.020547991730168
48,0,1,3,1,4,3,3,4,0.46849960362448534,0.35288395537379746,-1.9066733720440707
49,0,1,3,1,4,2,3,4,1.8786270236620188,1.301175835282454,-1.9066733720440707
50,0,1,0,1,4,2,3,1,-0.4025213144518212,1.301175835282454,-1.9066733720440707
51,0,1,3,1,4,2,3,1,-0.09966971927229715,0.16322557939206617,-1.020547991730168
52,0,1,3,1,4,3,2,3,2.2505426474569252,0.16322557939206617,-1.020547991730168
53,1,1,6,1,4,3,4,5,-0.4025213144518212,-1.2834932595500816,-1.198062696213186
54,1,1,6,1,4,2,4,5,-0.09966971927229715,-1.2834932595500816,-1.198062696213186
55,0,1,0,1,4,2,3,3,2.8187119703537076,1.301175835282454,-1.020547991730168
56,0,0,5,1,0,3,0,1,-0.34849349587411305,0.9140287735530548,-1.7370936716638257
57,0,1,0,1,4,3,2,1,2.2505426474569252,1.301175835282454,-1.020547991730168
58,0,1,3,1,4,2,2,1,0.07453446434296443,0.16322557939206617,-1.020547991730168
59,0,1,0,1,4,2,5,4,-0.4025213144518212,0.7322007073372602,-1.9066733720440707
60,0,0,5,1,4,3,4,5,-1.2885784425658018,-1.2834932595500816,-1.198062696213186
61,0,1,0,1,4,3,3,3,2.8187119703537076,0.16322557939206617,-1.020547991730168
62,0,1,3,1,4,3,3,3,2.4247468310721865,-0.21609117257139643,-1.020547991730168
63,0,1,3,1,4,3,2,3,2.8187119703537076,-0.21609117257139643,-1.020547991730168
64,0,1,3,1,4,3,3,1,2.6445077867384463,0.35288395537379746,-1.020547991730168
65,0,0,5,1,0,2,0,1,0.6136409663041908,0.7243703975713236,-1.7370936716638257
66,0,1,3,1,4,2,3,1,-0.09966971927229715,0.35288395537379746,-1.020547991730168
67,0,1,0,1,4,3,3,1,1.8786270236620188,1.301175835282454,-1.9066733720440707
68,0,1,0,1,4,2,2,1,0.46849960362448534,1.301175835282454,-1.020547991730168
69,0,0,5,1,4,3,4,5,-1.7586209159116462,-0.7145181316048876,-1.198062696213186
70,0,1,3,1,4,3,4,0,0.6967316058174551,-0.1533733134256301,-1.3820642626977904
71,0,1,3,1,4,3,3,3,2.6445077867384463,-0.21609117257139643,-1.020547991730168
72,0,1,3,1,4,3,4,0,0.6967316058174551,0.4156018145195639,-1.3820642626977904
73,0,1,0,1,4,2,3,4,-0.4025213144518212,0.7322007073372602,-1.9066733720440707
74,0,1,0,1,4,2,3,1,2.4247468310721865,0.16322557939206617,-1.020547991730168
75,0,1,3,1,4,3,4,0,1.4846618843804975,-0.1533733134256301,-1.3820642626977904
76,0,1,3,1,4,6,4,0,-0.09966971927229715,-0.5326900653890926,-1.3820642626977904
77,0,1,3,1,4,3,5,4,1.0076061055857122,0.7322007073372602,-1.9066733720440707
78,1,1,6,1,4,3,4,5,-0.4025213144518212,-0.14554300365969353,-1.198062696213186
79,0,1,0,1,4,3,5,1,1.0076061055857122,0.35288395537379746,-1.9066733720440707
80,0,0,5,1,0,3,3,1,-0.7964864537333425,0.7243703975713236,-0.5202183215768948
81,1,1,6,1,4,2,3,1,0.2942954200092241,-0.14554300365969353,-1.198062696213186
82,0,0,5,1,4,3,5,5,-0.34849349587411305,-1.09383488356835,-1.198062696213186
83,0,0,5,1,0,3,3,1,-1.7586209159116462,0.9140287735530548,-1.7370936716638257
84,0,1,3,1,4,2,3,1,0.46849960362448534,1.301175835282454,-1.9066733720440707
85,0,0,5,1,0,2,3,1,-0.7964864537333425,0.7243703975713236,-1.7370936716638257
86,0,1,0,1,4,2,3,1,2.2505426474569252,1.301175835282454,-1.020547991730168
87,0,1,3,1,4,3,3,1,-0.09966971927229715,0.35288395537379746,-1.020547991730168
88,0,1,3,1,4,2,5,1,1.0076061055857122,1.301175835282454,-1.9066733720440707
89,0,0,5,1,4,3,4,5,-1.1143742589505403,-1.09383488356835,-1.198062696213186
90,0,0,5,1,4,3,5,5,-1.584416732296385,-1.09383488356835,-1.198062696213186
91,0,1,3,1,4,2,3,1,2.2505426474569252,0.16322557939206617,-1.020547991730168
92,0,1,0,1,4,2,3,1,0.46849960362448534,-0.21609117257139643,-1.020547991730168
93,0,1,3,1,4,2,2,3,0.46849960362448534,-0.21609117257139643,-1.020547991730168
94,0,0,5,1,0,3,0,1,-0.7964864537333425,0.9140287735530548,-1.7370936716638257
95,0,1,0,1,4,3,3,1,-0.09966971927229715,-0.21609117257139643,-1.020547991730168
96,0,1,3,1,4,3,3,1,1.0076061055857122,0.7322007073372602,-1.9066733720440707
97,0,1,0,1,4,2,2,1,0.07453446434296443,0.35288395537379746,-1.020547991730168
98,0,1,0,1,4,3,3,1,2.2505426474569252,-0.21609117257139643,-1.020547991730168
99,0,1,0,1,4,2,3,1,0.2942954200092241,-0.21609117257139643,-1.020547991730168
100,0,0,5,1,0,2,3,1,-1.584416732296385,1.2933455255165174,-0.5202183215768948
101,0,1,3,1,4,2,2,1,2.4247468310721865,0.35288395537379746,-1.020547991730168
102,0,1,3,1,4,3,3,1,1.8786270236620188,1.301175835282454,-1.9066733720440707
103,0,1,0,1,4,2,5,4,0.46849960362448534,0.35288395537379746,-1.9066733720440707
104,0,1,3,1,4,3,2,1,2.6445077867384463,-0.21609117257139643,-1.020547991730168
